PolicyNo,ClaimNo,Insured Country,Insured Name,Broker,Risk Country,Underwriter,Brokerage,Exposure,Gross Premium,Outstanding,Paid,Rate Change,Unique Market Reference,Underwriting Year,Inception Date,Expiry Date,OurShare,Distribution Channel,Class,Division,New Renewal
PL100000,CLM500000,UK,Travis Cline,Marsh,Germany,Lauren Weber,0.06334,255707.06,211984.99,542145.53,313028.88,-0.2954,UMR_klLZk,1999,2006-11-19 00:00:00,2024-05-18 00:00:00,0.1352,Delegated Authority,Construction,Energy and Construction,Renewal
PL100001,CLM500001,Germany,Jake Cruz,Gallagher,India,Daniel Powell,0.01272,472339.14,390358.51,411675.92,19602.12,0.1112,UMR_aNouW,2005,2000-06-24 00:00:00,2025-08-22 00:00:00,0.7426,Open Market,Marine,Specialty,Renewal
PL100002,CLM500002,UK,Belinda Sanchez,Gallagher,USA,Lauren Weber,0.06696,1259402.38,598191.27,900295.36,493808.63,-0.2025,UMR_TPXsv,2022,2006-02-24 00:00:00,2023-10-30 00:00:00,0.7437,Broker,Energy,Specialty,New
PL100003,CLM500003,USA,Heather Fisher,Aon,Germany,Lauren Weber,0.04252,1271777.02,1280626.34,705401.82,952400.4,-0.2131,UMR_JWfUg,2016,2014-10-30 00:00:00,2023-02-08 00:00:00,0.283,Delegated Authority,Marine,Energy and Construction,Renewal
PL100004,CLM500004,Germany,Amanda Meyer,Gallagher,USA,Lauren Weber,0.0243,798288.93,261915.23,790097.5,262991.09,0.0426,UMR_pxjYH,2004,2009-02-02 00:00:00,2023-10-01 00:00:00,0.6323,Delegated Authority,Energy,Energy and Construction,New
PL100005,CLM500005,USA,Julia Cortez,Gallagher,France,Lauren Weber,0.06408,942162.12,1222103.44,28712.03,866809.15,0.1412,UMR_KARcK,2009,2011-12-05 00:00:00,2024-02-05 00:00:00,0.6034,Delegated Authority,Marine,Specialty,Renewal
PL100006,CLM500006,Germany,Debra Harding,Willis,USA,Lauren Weber,0.08771,102161.39,1192052.04,81876.38,682383.98,-0.3336,UMR_wupLa,1994,2012-02-08 00:00:00,2024-02-25 00:00:00,0.4472,Open Market,Construction,Energy and Construction,New
PL100007,CLM500007,India,Jordan Johnson,Aon,Germany,Lauren Weber,0.09405,1161679.35,1127222.14,121459.6,732519.83,0.4336,UMR_Xtatv,2009,2000-09-10 00:00:00,2025-12-27 00:00:00,0.3855,Open Market,Energy,Energy and Construction,Renewal
PL100008,CLM500008,India,Jessica Duke,Gallagher,India,Lauren Weber,0.04008,301625.87,767282.66,703036.52,832444.23,0.1228,UMR_pvyJr,2013,2005-10-20 00:00:00,2025-07-20 00:00:00,0.8899,Open Market,Marine,Energy and Construction,Renewal
PL100009,CLM500009,Germany,Carly Dickson,Aon,USA,Lauren Weber,0.01678,264448.83,1120653.61,665587.05,597373.13,-0.2892,UMR_AtwLU,2007,2005-10-23 00:00:00,2023-06-07 00:00:00,0.4668,Delegated Authority,Marine,Energy and Construction,New
PL100010,CLM500010,USA,Sean Montgomery,Marsh,USA,Lauren Weber,0.11133,702383.71,747923.6,866392.88,534853.07,0.3208,UMR_mYUcY,2002,2018-01-10 00:00:00,2023-01-18 00:00:00,0.1439,Open Market,Construction,Energy and Construction,Renewal
PL100011,CLM500011,India,Brian Wright,Aon,USA,Lauren Weber,0.04988,223894.44,1250554.47,150664.6,769161.37,0.2587,UMR_jjyYz,2005,2006-06-11 00:00:00,2023-09-13 00:00:00,0.7239,Delegated Authority,Marine,Specialty,New
PL100012,CLM500012,Germany,Nicole Thomas,Gallagher,Germany,Daniel Powell,0.05207,1167243.99,444719.8,86909.84,989789.6,0.2687,UMR_PnHQX,2005,2005-04-22 00:00:00,2024-09-10 00:00:00,0.945,Broker,Marine,Specialty,Renewal
PL100013,CLM500013,USA,Mark Barnes,Gallagher,Germany,Lauren Weber,0.08389,1620650.78,720950.7,178516.09,302617.59,0.3169,UMR_vFHzw,2013,2001-07-18 00:00:00,2024-11-19 00:00:00,0.1535,Open Market,Marine,Specialty,New
PL100014,CLM500014,India,Katie Carpenter,Gallagher,USA,Daniel Powell,0.06483,1198616.49,608434.48,172116.32,22736.93,0.1252,UMR_THBgX,1995,2008-02-15 00:00:00,2024-05-09 00:00:00,0.9079,Broker,Marine,Specialty,New
PL100015,CLM500015,India,Harry Clarke,Willis,France,Lauren Weber,0.06031,148690.28,450839.68,943700.99,12706.58,0.2755,UMR_QHKNW,2003,2000-06-01 00:00:00,2024-12-16 00:00:00,0.1187,Open Market,Construction,Specialty,Renewal
PL100016,CLM500016,India,Amy Rodriguez,Aon,Germany,Lauren Weber,0.0821,416366,376094.89,578019.66,359911.61,-0.4912,UMR_xPEmm,2020,2018-06-12 00:00:00,2023-12-02 00:00:00,0.3683,Delegated Authority,Energy,Specialty,New
PL100017,CLM500017,USA,Melissa Robinson,Marsh,Germany,Daniel Powell,0.05727,1200062.98,1365777.96,553479.76,536362.66,0.2428,UMR_JXzQD,2001,2016-09-04 00:00:00,2023-10-14 00:00:00,0.6318,Delegated Authority,Construction,Energy and Construction,Renewal
